year,rank,office,girl,Protem
2015,1,Grand Worthy Advisor,10030,0
2015,2,Grand Worthy Associate Advisor,10018,0
2015,3,Grand Charity,10023,0
2015,4,Grand Hope,10028,0
2015,5,Grand Faith,10024,0
2015,6,Grand Lecturer,10022,0
2015,7,Grand Recorder,10021,0
2015,8,Grand Treasurer,10014,0
2015,9,Grand Chaplain,10016,0
2015,10,Grand Drill Leader,10012,0
2015,11,Grand Love,10017,0
2015,12,Grand Religion,10011,0
2015,13,Grand Nature,10012,0
2015,14,Grand Immortality,10015,0
2015,15,Grand Fidelity,10009,0
2015,16,Grand Patriotism,10010,0
2015,17,Grand Service,9999,0
2015,18,Grand Confidential Observer,9998,0
2015,19,Grand Outer Observer,0,0
2015,20,Grand Musician,10013,0
2014,1,Grand Worthy Advisor,10032,0
2014,2,Grand Worthy Associate Advisor,10031,0
2014,3,Grand Charity,10030,0
2014,4,Grand Hope,10029,0
2014,5,Grand Faith,10028,0
2014,6,Grand Lecturer,10027,0
2014,7,Grand Recorder,10026,0
2014,8,Grand Treasurer,10025,0
2014,9,Grand Chaplain,10024,0
2014,10,Grand Drill Leader,10023,0
2014,11,Grand Love,10022,0
2014,12,Grand Religion,10021,0
2014,13,Grand Nature,10020,0
2014,14,Grand Immortality,10019,0
2014,15,Grand Fidelity,10018,0
2014,16,Grand Patriotism,10017,0
2014,17,Grand Service,10016,0
2014,18,Grand Confidential Observer,10015,0
2014,19,Grand Outer Observer,10014,0
2014,20,Grand Musician,10013,0
2013,1,Grand Worthy Advisor,10013,0
2013,2,Grand Worthy Associate Advisor,10032,0
2013,3,Grand Charity,10035,0
2013,4,Grand Hope,10027,0
2013,5,Grand Faith,10026,0
2013,6,Grand Lecturer,10031,0
2013,7,Grand Recorder,10028,0
2013,8,Grand Treasurer,10044,0
2013,9,Grand Chaplain,10030,0
2013,10,Grand Drill Leader,10025,0
2013,11,Grand Love,10029,0
2013,12,Grand Religion,10043,0
2013,13,Grand Nature,10011,0
2013,14,Grand Immortality,10001,0
2013,15,Grand Fidelity,10021,0
2013,16,Grand Patriotism,10023,0
2013,17,Grand Service,10024,0
2013,18,Grand Confidential Observer,10039,0
2013,19,Grand Outer Observer,10022,0
2012,1,Grand Worthy Advisor,10036,0
2012,2,Grand Worthy Associate Advisor,10041,0
2012,3,Grand Charity,10032,0
2012,4,Grand Hope,10035,0
2012,5,Grand Faith,10013,0
2012,6,Grand Lecturer,10033,0
2012,7,Grand Recorder,10011,1
2012,8,Grand Treasurer,10031,0
2012,9,Grand Chaplain,10026,0
2012,10,Grand Drill Leader,10027,0
2012,11,Grand Love,10025,0
2012,12,Grand Religion,10029,0
2012,13,Grand Nature,10030,0
2012,14,Grand Immortality,10028,0
2012,15,Grand Fidelity,10024,1
2012,16,Grand Patriotism,10044,0
2012,17,Grand Service,10016,1
2012,18,Grand Confidential Observer,10001,0
2012,19,Grand Outer Observer,10043,1
2011,1,Grand Worthy Advisor,10037,0
2011,2,Grand Worthy Associate Advisor,10116,1
2011,3,Grand Charity,10036,0
2011,4,Grand Hope,10033,0
2011,5,Grand Faith,10041,0
2011,6,Grand Recorder,10031,0
2011,7,Grand Treasurer,10034,1
2011,8,Grand Chaplain,10013,0
2011,9,Grand Drill Leader,10032,0
2011,10,Grand Love,10030,0
2011,11,Grand Religion,10026,0
2011,12,Grand Nature,10045,0
2011,13,Grand Immortality,10025,0
2011,14,Grand Fidelity,10035,0
2011,15,Grand Patriotism,10027,0
2011,16,Grand Service,10046,0
2011,17,Grand Confidential Observer,10040,0
2011,18,Grand Outer Observer,10047,0
2010,1,Grand Worthy Advisor,10112,0
2010,2,Grand Worthy Associate Advisor,10114,0
2010,3,Grand Charity,10108,0
2010,4,Grand Hope,10111,0
2010,5,Grand Faith,10109,0
2010,6,Grand Lecturer,10113,0
2010,7,Grand Recorder,10106,0
2010,8,Grand Treasurer,10033,0
2010,9,Grand Chaplain,10107,0
2010,10,Grand Drill Leader,10037,0
2010,11,Grand Love,10031,0
2010,12,Grand Religion,10032,0
2010,13,Grand Nature,10105,0
2010,14,Grand Immortality,10104,0
2010,15,Grand Fidelity,10103,0
2010,16,Grand Patriotism,10102,0
2010,17,Grand Service,10026,0
2010,18,Grand Confidential Observer,10101,0
2010,19,Grand Outer Observer,10100,0
2009,1,Grand Worthy Advisor,10116,0
2009,2,Grand Worthy Associate Advisor,10115,0
2009,3,Grand Charity,10114,0
2009,4,Grand Hope,10113,0
2009,5,Grand Faith,10112,0
2009,6,Grand Recorder,10111,0
2009,7,Grand Treasurer,10110,0
2009,8,Grand Chaplain,10109,0
2009,9,Grand Drill Leader,10108,0
2009,10,Grand Love,10037,0
2009,11,Grand Religion,10107,0
2009,12,Grand Nature,10106,0
2009,13,Grand Immortality,10031,0
2009,14,Grand Fidelity,10033,0
2009,15,Grand Patriotism,10032,0
2008,1,Grand Worthy Advisor,10121,0
2008,2,Grand Worthy Associate Advisor,10120,1
2008,3,Grand Charity,10116,0
2008,4,Grand Hope,10119,1
2008,5,Grand Faith,10114,0
2008,6,Grand Recorder,10034,1
2008,7,Grand Treasurer,10107,1
2008,8,Grand Chaplain,10115,0
2008,9,Grand Drill Leader,10113,0
2008,10,Grand Love,10118,0
2008,11,Grand Religion,10112,0
2008,12,Grand Nature,10111,0
2008,13,Grand Immortality,10108,0
2008,14,Grand Fidelity,10110,0
2008,15,Grand Patriotism,10109,0
2008,16,Grand Service,10037,0
2008,17,Grand Confidential Observer,10117,0
2008,18,Grand Outer Observer,10106,0
2007,1,Grand Worthy Advisor,10119,0
2007,2,Grand Worthy Associate Advisor,10121,0
2007,3,Grand Charity,10122,0
2007,4,Grand Hope,10123,0
2007,5,Grand Faith,10116,0
2007,5,Grand Lecturer,10124,0
2007,6,Grand Recorder,10124,0
